event_id,brn,child_person_id,mother_person_id,father_person_id,informant_person_id,informant_relationship,date_of_birth,place_type,facility_id,birth_attendant,sex_at_birth,observed_at,source_system
BE-00001,BRN-2022-0101-00001,CP-000001,CP-000002,,CP-000001,parent,2022-03-14,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00002,BRN-1992-0101-00002,CP-000002,,,CP-000002,parent,1992-11-02,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00003,BRN-1989-0101-00003,CP-000003,,,CP-000003,parent,1989-08-20,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00004,BRN-2021-0301-00004,CP-000004,,,CP-000004,parent,2021-01-29,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00005,BRN-1985-0301-00005,CP-000005,,,CP-000005,parent,1985-07-08,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00006,BRN-2020-0302-00006,CP-000006,,,CP-000006,parent,2020-06-17,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00007,BRN-1985-0302-00007,CP-000007,,,CP-000007,parent,1985-09-10,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00009,BRN-1981-0202-00009,CP-000009,,,CP-000009,parent,1981-04-23,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00010,BRN-2019-0203-00010,CP-000010,,,CP-000010,parent,2019-12-12,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00011,BRN-1988-0203-00011,CP-000011,,,CP-000011,parent,1988-12-12,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00012,BRN-1944-0301-00012,CP-000012,,,CP-000012,parent,1944-02-01,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00013,BRN-1950-0301-00013,CP-000013,,,CP-000013,parent,1950-10-03,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00014,BRN-1947-0302-00014,CP-000014,,,CP-000014,parent,1947-05-05,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00015,BRN-1951-0302-00015,CP-000015,,,CP-000015,parent,1951-06-30,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00016,BRN-1980-0303-00016,CP-000016,,,CP-000016,parent,1980-03-19,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00017,BRN-1979-0303-00017,CP-000017,,,CP-000017,parent,1979-01-11,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00018,BRN-1988-0103-00018,CP-000018,,,CP-000018,parent,1988-02-22,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00019,BRN-1976-0102-00019,CP-000019,,,CP-000019,parent,1976-04-04,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00020,BRN-1990-0402-00020,CP-000020,,,CP-000020,parent,1990-09-09,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00021,BRN-1982-0401-00021,CP-000021,,,CP-000021,parent,1982-10-10,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00022,BRN-1984-0403-00022,CP-000022,,,CP-000022,parent,1984-12-01,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00023,BRN-1989-0402-00023,CP-000023,,,CP-000023,parent,1989-02-19,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00024,BRN-1970-0403-00024,CP-000024,,,CP-000024,parent,1970-07-16,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00025,BRN-2017-0101-00025,CP-000025,,,CP-000025,parent,2017-02-23,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00026,BRN-1999-0102-00026,CP-000026,,,CP-000026,parent,1999-06-14,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00027,BRN-1957-0103-00027,CP-000027,,,CP-000027,parent,1957-02-15,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00028,BRN-2006-0201-00028,CP-000028,,,CP-000028,parent,2006-09-28,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00029,BRN-1985-0202-00029,CP-000029,,,CP-000029,parent,1985-03-07,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00030,BRN-1972-0203-00030,CP-000030,,,CP-000030,parent,1972-04-07,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00031,BRN-1967-0301-00031,CP-000031,,,CP-000031,parent,1967-05-15,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00032,BRN-1987-0302-00032,CP-000032,,,CP-000032,parent,1987-06-26,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00033,BRN-2010-0303-00033,CP-000033,,,CP-000033,parent,2010-05-05,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00034,BRN-1990-0401-00034,CP-000034,,,CP-000034,parent,1990-12-20,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00035,BRN-1950-0402-00035,CP-000035,,,CP-000035,parent,1950-03-19,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00036,BRN-1999-0403-00036,CP-000036,,,CP-000036,parent,1999-08-13,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00037,BRN-1987-0101-00037,CP-000037,,,CP-000037,parent,1987-09-03,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00038,BRN-1992-0102-00038,CP-000038,,,CP-000038,parent,1992-06-06,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00039,BRN-2014-0103-00039,CP-000039,,,CP-000039,parent,2014-05-01,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00040,BRN-2016-0201-00040,CP-000040,,,CP-000040,parent,2016-09-28,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00041,BRN-2017-0202-00041,CP-000041,,,CP-000041,parent,2017-11-15,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00042,BRN-1996-0203-00042,CP-000042,,,CP-000042,parent,1996-07-13,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00043,BRN-2013-0301-00043,CP-000043,,,CP-000043,parent,2013-06-24,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00044,BRN-1990-0302-00044,CP-000044,,,CP-000044,parent,1990-12-01,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00045,BRN-2018-0303-00045,CP-000045,,,CP-000045,parent,2018-05-07,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00046,BRN-2018-0401-00046,CP-000046,,,CP-000046,parent,2018-03-18,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00047,BRN-2020-0402-00047,CP-000047,,,CP-000047,parent,2020-12-23,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00048,BRN-2012-0403-00048,CP-000048,,,CP-000048,parent,2012-08-24,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00049,BRN-2017-0101-00049,CP-000049,,,CP-000049,parent,2017-01-15,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00050,BRN-2000-0102-00050,CP-000050,,,CP-000050,parent,2000-12-24,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00051,BRN-1999-0103-00051,CP-000051,,,CP-000051,parent,1999-06-12,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00052,BRN-1981-0201-00052,CP-000052,,,CP-000052,parent,1981-07-24,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00053,BRN-1962-0202-00053,CP-000053,,,CP-000053,parent,1962-06-17,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00054,BRN-1976-0203-00054,CP-000054,,,CP-000054,parent,1976-08-26,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00055,BRN-1978-0301-00055,CP-000055,,,CP-000055,parent,1978-04-06,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00056,BRN-1998-0302-00056,CP-000056,,,CP-000056,parent,1998-04-25,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00057,BRN-2015-0303-00057,CP-000057,,,CP-000057,parent,2015-07-18,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00058,BRN-2002-0401-00058,CP-000058,,,CP-000058,parent,2002-08-12,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00059,BRN-1946-0402-00059,CP-000059,,,CP-000059,parent,1946-04-04,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00060,BRN-1970-0403-00060,CP-000060,,,CP-000060,parent,1970-08-10,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00061,BRN-1969-0101-00061,CP-000061,,,CP-000061,parent,1969-11-14,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00062,BRN-1993-0102-00062,CP-000062,,,CP-000062,parent,1993-08-24,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00063,BRN-2023-0103-00063,CP-000063,,,CP-000063,parent,2023-05-26,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00064,BRN-1984-0201-00064,CP-000064,,,CP-000064,parent,1984-11-09,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00065,BRN-2002-0202-00065,CP-000065,,,CP-000065,parent,2002-07-01,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00066,BRN-2011-0203-00066,CP-000066,,,CP-000066,parent,2011-08-27,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00067,BRN-1999-0301-00067,CP-000067,,,CP-000067,parent,1999-03-08,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00068,BRN-2005-0302-00068,CP-000068,,,CP-000068,parent,2005-08-01,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00069,BRN-2019-0303-00069,CP-000069,,,CP-000069,parent,2019-09-20,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00071,BRN-2021-0402-00071,CP-000071,,,CP-000071,parent,2021-05-04,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00072,BRN-2010-0403-00072,CP-000072,,,CP-000072,parent,2010-10-12,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00073,BRN-2004-0101-00073,CP-000073,,,CP-000073,parent,2004-08-06,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00074,BRN-2011-0102-00074,CP-000074,,,CP-000074,parent,2011-09-12,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00075,BRN-1980-0103-00075,CP-000075,,,CP-000075,parent,1980-06-18,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00076,BRN-1974-0201-00076,CP-000076,,,CP-000076,parent,1974-11-17,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00077,BRN-1955-0202-00077,CP-000077,,,CP-000077,parent,1955-06-06,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00078,BRN-1984-0203-00078,CP-000078,,,CP-000078,parent,1984-01-28,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00079,BRN-1982-0301-00079,CP-000079,,,CP-000079,parent,1982-06-23,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00081,BRN-1999-0303-00081,CP-000081,,,CP-000081,parent,1999-07-24,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00082,BRN-2019-0401-00082,CP-000082,,,CP-000082,parent,2019-11-12,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00083,BRN-1997-0402-00083,CP-000083,,,CP-000083,parent,1997-12-15,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00084,BRN-1969-0403-00084,CP-000084,,,CP-000084,parent,1969-06-17,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00085,BRN-1997-0101-00085,CP-000085,,,CP-000085,parent,1997-06-04,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00086,BRN-2014-0102-00086,CP-000086,,,CP-000086,parent,2014-01-13,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00087,BRN-1943-0103-00087,CP-000087,,,CP-000087,parent,1943-09-17,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00088,BRN-1986-0201-00088,CP-000088,,,CP-000088,parent,1986-07-07,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00089,BRN-2006-0202-00089,CP-000089,,,CP-000089,parent,2006-09-03,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00090,BRN-1960-0203-00090,CP-000090,,,CP-000090,parent,1960-04-20,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00091,BRN-1971-0301-00091,CP-000091,,,CP-000091,parent,1971-10-28,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00092,BRN-1947-0302-00092,CP-000092,,,CP-000092,parent,1947-06-09,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00093,BRN-2014-0303-00093,CP-000093,,,CP-000093,parent,2014-05-13,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00094,BRN-1968-0401-00094,CP-000094,,,CP-000094,parent,1968-12-15,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00095,BRN-2015-0402-00095,CP-000095,,,CP-000095,parent,2015-03-17,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00096,BRN-2025-0403-00096,CP-000096,,,CP-000096,parent,2025-11-22,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00097,BRN-2024-0101-00097,CP-000097,,,CP-000097,parent,2024-12-11,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00098,BRN-1973-0102-00098,CP-000098,,,CP-000098,parent,1973-01-19,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00099,BRN-1999-0103-00099,CP-000099,,,CP-000099,parent,1999-04-08,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00100,BRN-2006-0201-00100,CP-000100,,,CP-000100,parent,2006-09-10,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
