identifier_id,person_id,scheme,value,status,issued_on,observed_at,source_system
CI-000001,CP-000001,brn,BRN-2022-0101-00001,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100001,CP-000001,uin,2300010248,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200001,CP-000001,legacy_nid,NID-1001,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000002,CP-000002,brn,BRN-1992-0101-00002,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100002,CP-000002,uin,2300018263,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200002,CP-000002,legacy_nid,NID-1002,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000003,CP-000003,brn,BRN-1989-0101-00003,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100003,CP-000003,uin,2300027390,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200003,CP-000003,legacy_nid,NID-1003,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000004,CP-000004,brn,BRN-2021-0301-00004,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100004,CP-000004,uin,2300036523,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200004,CP-000004,legacy_nid,NID-1004,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000005,CP-000005,brn,BRN-1985-0301-00005,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100005,CP-000005,uin,2300045650,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200005,CP-000005,legacy_nid,NID-1005,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000006,CP-000006,brn,BRN-2020-0302-00006,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100006,CP-000006,uin,2300054788,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200006,CP-000006,legacy_nid,NID-1006,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000007,CP-000007,brn,BRN-1985-0302-00007,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100007,CP-000007,uin,2300063915,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200007,CP-000007,legacy_nid,NID-1007,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100008,CP-000008,uin,2300073046,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200008,CP-000008,legacy_nid,NID-1008,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000009,CP-000009,brn,BRN-1981-0202-00009,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100009,CP-000009,uin,2300082172,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200009,CP-000009,legacy_nid,NID-1009,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000010,CP-000010,brn,BRN-2019-0203-00010,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100010,CP-000010,uin,2300091305,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200010,CP-000010,legacy_nid,NID-1010,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000011,CP-000011,brn,BRN-1988-0203-00011,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100011,CP-000011,uin,2300100431,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200011,CP-000011,legacy_nid,NID-1011,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000012,CP-000012,brn,BRN-1944-0301-00012,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100012,CP-000012,uin,2300109568,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200012,CP-000012,legacy_nid,NID-2001,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000013,CP-000013,brn,BRN-1950-0301-00013,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100013,CP-000013,uin,2300118698,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200013,CP-000013,legacy_nid,NID-2002,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000014,CP-000014,brn,BRN-1947-0302-00014,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100014,CP-000014,uin,2300127827,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200014,CP-000014,legacy_nid,NID-2004,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000015,CP-000015,brn,BRN-1951-0302-00015,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100015,CP-000015,uin,2300136959,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200015,CP-000015,legacy_nid,NID-2005,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000016,CP-000016,brn,BRN-1980-0303-00016,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100016,CP-000016,uin,2300146081,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200016,CP-000016,legacy_nid,NID-2006,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000017,CP-000017,brn,BRN-1979-0303-00017,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100017,CP-000017,uin,2300155218,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200017,CP-000017,legacy_nid,NID-2010,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000018,CP-000018,brn,BRN-1988-0103-00018,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100018,CP-000018,uin,2300164345,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200018,CP-000018,legacy_nid,NID-2011,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000019,CP-000019,brn,BRN-1976-0102-00019,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100019,CP-000019,uin,2300173478,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200019,CP-000019,legacy_nid,NID-2012,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000020,CP-000020,brn,BRN-1990-0402-00020,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100020,CP-000020,uin,2300182600,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200020,CP-000020,legacy_nid,NID-2013,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000021,CP-000021,brn,BRN-1982-0401-00021,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100021,CP-000021,uin,2300191733,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200021,CP-000021,legacy_nid,NID-2014,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000022,CP-000022,brn,BRN-1984-0403-00022,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100022,CP-000022,uin,2300200865,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-200022,CP-000022,legacy_nid,NID-2015,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000023,CP-000023,brn,BRN-1989-0402-00023,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100023,CP-000023,uin,2310209990,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000024,CP-000024,brn,BRN-1970-0403-00024,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100024,CP-000024,uin,2310219126,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000025,CP-000025,brn,BRN-2017-0101-00025,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100025,CP-000025,uin,2310228253,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000026,CP-000026,brn,BRN-1999-0102-00026,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100026,CP-000026,uin,2310237380,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000027,CP-000027,brn,BRN-1957-0103-00027,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100027,CP-000027,uin,2310246514,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000028,CP-000028,brn,BRN-2006-0201-00028,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100028,CP-000028,uin,2310255646,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000029,CP-000029,brn,BRN-1985-0202-00029,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100029,CP-000029,uin,2310264776,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000030,CP-000030,brn,BRN-1972-0203-00030,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100030,CP-000030,uin,2310273903,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000031,CP-000031,brn,BRN-1967-0301-00031,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100031,CP-000031,uin,2310283034,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000032,CP-000032,brn,BRN-1987-0302-00032,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100032,CP-000032,uin,2310292169,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000033,CP-000033,brn,BRN-2010-0303-00033,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100033,CP-000033,uin,2310301292,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000034,CP-000034,brn,BRN-1990-0401-00034,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100034,CP-000034,uin,2310310425,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000035,CP-000035,brn,BRN-1950-0402-00035,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100035,CP-000035,uin,2310319558,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000036,CP-000036,brn,BRN-1999-0403-00036,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100036,CP-000036,uin,2310328686,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000037,CP-000037,brn,BRN-1987-0101-00037,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100037,CP-000037,uin,2310337812,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000038,CP-000038,brn,BRN-1992-0102-00038,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100038,CP-000038,uin,2310346943,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000039,CP-000039,brn,BRN-2014-0103-00039,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100039,CP-000039,uin,2310356076,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000040,CP-000040,brn,BRN-2016-0201-00040,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100040,CP-000040,uin,2310365207,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000041,CP-000041,brn,BRN-2017-0202-00041,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100041,CP-000041,uin,2310374331,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000042,CP-000042,brn,BRN-1996-0203-00042,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100042,CP-000042,uin,2310383467,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000043,CP-000043,brn,BRN-2013-0301-00043,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100043,CP-000043,uin,2310392598,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000044,CP-000044,brn,BRN-1990-0302-00044,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100044,CP-000044,uin,2310401728,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000045,CP-000045,brn,BRN-2018-0303-00045,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100045,CP-000045,uin,2310410852,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000046,CP-000046,brn,BRN-2018-0401-00046,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100046,CP-000046,uin,2310419983,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000047,CP-000047,brn,BRN-2020-0402-00047,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100047,CP-000047,uin,2310429113,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000048,CP-000048,brn,BRN-2012-0403-00048,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100048,CP-000048,uin,2310438240,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000049,CP-000049,brn,BRN-2017-0101-00049,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100049,CP-000049,uin,2310447379,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000050,CP-000050,brn,BRN-2000-0102-00050,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100050,CP-000050,uin,2310456507,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000051,CP-000051,brn,BRN-1999-0103-00051,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100051,CP-000051,uin,2310465637,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000052,CP-000052,brn,BRN-1981-0201-00052,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100052,CP-000052,uin,2310474769,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000053,CP-000053,brn,BRN-1962-0202-00053,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100053,CP-000053,uin,2310483890,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000054,CP-000054,brn,BRN-1976-0203-00054,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
