person_id,uin,given_name,family_name,sex,birth_date,birth_place_district_code,life_status,death_date,observed_at,source_system
CP-000001,2300010248,Mateo,Santos,male,2022-03-14,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000002,2300018263,Elena,Dela Cruz,female,1992-11-02,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000003,2300027390,Luis,Okafor,male,1989-08-20,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000004,2300036523,Hana,Aquino,female,2021-01-29,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000005,2300045650,Priya,Mensah,female,1985-07-08,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000006,2300054788,Tomas,Bello,male,2020-06-17,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000007,2300063915,Joana,Bello,female,1985-09-10,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000008,2300073046,Karim,Kone,male,2020-05-18,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000009,2300082172,Aisha,Kone,female,1981-04-23,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000010,2300091305,Esteban,Cruz,male,2019-12-12,XS-0203,deceased,2026-02-14,2026-07-04T09:00:00Z,CRA-CORE
CP-000011,2300100431,Miriam,Cruz,female,1988-12-12,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000012,2300109568,Rafael,Nkomo,male,1944-02-01,XS-0301,deceased,2026-03-03,2026-07-04T09:00:00Z,CRA-CORE
CP-000013,2300118698,Imani,Nkomo,female,1950-10-03,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000014,2300127827,Otto,Ferreira,male,1947-05-05,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000015,2300136959,Lucia,Ferreira,female,1951-06-30,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000016,2300146081,Mina,Rahman,female,1980-03-19,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000017,2300155218,Pavel,Rahman,male,1979-01-11,XS-0303,deceased,2026-04-09,2026-07-04T09:00:00Z,CRA-CORE
CP-000018,2300164345,Amina,Kone,female,1988-02-22,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000019,2300173478,Diego,Santos,male,1976-04-04,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000020,2300182600,Noor,Patel,female,1990-09-09,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000021,2300191733,Beatriz,Okafor,female,1982-10-10,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000022,2300200865,Sefu,Dela Cruz,male,1984-12-01,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000023,2310209990,Rafi23,Aquino,female,1989-02-19,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000024,2310219126,Ari24,Kone,male,1970-07-16,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000025,2310228253,Mika25,Mensah,female,2017-02-23,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000026,2310237380,Nela26,Raman,male,1999-06-14,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000027,2310246514,Tomas27,Almeida,female,1957-02-15,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000028,2310255646,Lina28,Mori,male,2006-09-28,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000029,2310264776,Zaid29,Khan,female,1985-03-07,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000030,2310273903,Rina30,Santos,male,1972-04-07,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000031,2310283034,Kiran31,Okafor,female,1967-05-15,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000032,2310292169,Eli32,Dela Cruz,male,1987-06-26,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000033,2310301292,Mara33,Aquino,female,2010-05-05,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000034,2310310425,Tala34,Kone,male,1990-12-20,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000035,2310319558,Rafi35,Mensah,female,1950-03-19,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000036,2310328686,Ari36,Raman,male,1999-08-13,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000037,2310337812,Mika37,Almeida,female,1987-09-03,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000038,2310346943,Nela38,Mori,male,1992-06-06,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000039,2310356076,Tomas39,Khan,female,2014-05-01,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000040,2310365207,Lina40,Santos,male,2016-09-28,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000041,2310374331,Zaid41,Okafor,female,2017-11-15,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000042,2310383467,Rina42,Dela Cruz,male,1996-07-13,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000043,2310392598,Kiran43,Aquino,female,2013-06-24,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000044,2310401728,Eli44,Kone,male,1990-12-01,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000045,2310410852,Mara45,Mensah,female,2018-05-07,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000046,2310419983,Tala46,Raman,male,2018-03-18,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000047,2310429113,Rafi47,Almeida,female,2020-12-23,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000048,2310438240,Ari48,Mori,male,2012-08-24,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000049,2310447379,Mika49,Khan,female,2017-01-15,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000050,2310456507,Nela50,Santos,male,2000-12-24,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000051,2310465637,Tomas51,Okafor,female,1999-06-12,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000052,2310474769,Lina52,Dela Cruz,male,1981-07-24,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000053,2310483890,Zaid53,Aquino,female,1962-06-17,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000054,2310493025,Rina54,Kone,male,1976-08-26,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000055,2310502155,Kiran55,Mensah,female,1978-04-06,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000056,2310511281,Eli56,Raman,male,1998-04-25,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000057,2310520414,Mara57,Almeida,female,2015-07-18,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000058,2310529549,Tala58,Mori,male,2002-08-12,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000059,2310538676,Rafi59,Khan,female,1946-04-04,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000060,2310547809,Ari60,Santos,male,1970-08-10,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000061,2310556939,Mika61,Okafor,female,1969-11-14,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000062,2310566061,Nela62,Dela Cruz,male,1993-08-24,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000063,2310575190,Tomas63,Aquino,female,2023-05-26,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000064,2310584323,Lina64,Kone,male,1984-11-09,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000065,2310593457,Zaid65,Mensah,female,2002-07-01,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000066,2310602580,Rina66,Raman,male,2011-08-27,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000067,2310611719,Kiran67,Almeida,female,1999-03-08,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000068,2310620849,Eli68,Mori,male,2005-08-01,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000069,2310629979,Mara69,Khan,female,2019-09-20,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000070,2310639105,Tala70,Santos,male,2023-01-06,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000071,2310648232,Rafi71,Okafor,female,2021-05-04,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000072,2310657361,Ari72,Dela Cruz,male,2010-10-12,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000073,2310667233,Mika73,Aquino,female,2004-08-06,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000074,2310675622,Nela74,Kone,male,2011-09-12,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000075,2310684755,Tomas75,Mensah,female,1980-06-18,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
