document_id,uin,document_type,issue_date,expiry_date,document_status,observed_at,source_system
DOC-000001,2300010248,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000002,2300018263,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000003,2300027390,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000004,2300036523,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000005,2300045650,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000006,2300054788,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000007,2300063915,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000008,2300073046,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000009,2300082172,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000010,2300091305,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000011,2300100431,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000012,2300109568,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000013,2300118698,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000014,2300127827,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000015,2300136959,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000016,2300146081,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000017,2300155218,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000018,2300164345,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000019,2300173478,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000020,2300182600,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000021,2300191733,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000022,2300200865,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000023,2310209990,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000024,2310219126,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000025,2310228253,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000026,2310237380,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000027,2310246514,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000028,2310255646,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000029,2310264776,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000030,2310273903,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000031,2310283034,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000032,2310292169,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000033,2310301292,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
DOC-000034,2310310425,national_id_card,2024-01-01,2034-01-01,valid,2026-07-04T09:00:00Z,NIA-SOLMARAID
