uin,person_id,legacy_nid,given_name,family_name,birth_date,sex,district_code,address_area,settlement_type,identity_status,pending_merge_with_uin,match_basis,alive,birth_brn,updated_at,observed_at,source_system
2300010248,CP-000001,NID-1001,Mateo,Santos,2022-03-14,male,XS-0101,XS-0101 civic area,rural,active,,,true,BRN-2022-0101-00001,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300018263,CP-000002,NID-1002,Elena,Dela Cruz,1992-11-02,female,XS-0101,XS-0101 civic area,rural,active,,,true,BRN-1992-0101-00002,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300027390,CP-000003,NID-1003,Luis,Okafor,1989-08-20,male,XS-0101,XS-0101 civic area,rural,active,,,true,BRN-1989-0101-00003,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300036523,CP-000004,NID-1004,Hana,Aquino,2021-01-29,female,XS-0301,XS-0301 civic area,urban,active,,,true,BRN-2021-0301-00004,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300045650,CP-000005,NID-1005,Priya,Mensah,1985-07-08,female,XS-0301,XS-0301 civic area,urban,active,,,true,BRN-1985-0301-00005,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300054788,CP-000006,NID-1006,Tomas,Bello,2020-06-17,male,XS-0302,XS-0302 civic area,urban,active,,,true,BRN-2020-0302-00006,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300063915,CP-000007,NID-1007,Joana,Bello,1985-09-10,female,XS-0302,XS-0302 civic area,urban,active,,,true,BRN-1985-0302-00007,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300073046,CP-000008,NID-1008,Karim,Kone,2020-05-18,male,XS-0202,XS-0202 civic area,rural,active,,,true,,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300082172,CP-000009,NID-1009,Aisha,Kone,1981-04-23,female,XS-0202,XS-0202 civic area,rural,active,,,true,BRN-1981-0202-00009,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300091305,CP-000010,NID-1010,Esteban,Cruz,2019-12-12,male,XS-0203,XS-0203 civic area,rural,deceased,,,false,BRN-2019-0203-00010,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300100431,CP-000011,NID-1011,Miriam,Cruz,1988-12-12,female,XS-0203,XS-0203 civic area,rural,active,,,true,BRN-1988-0203-00011,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
