household_id,head_uin,district_code,poverty_score,poverty_band,member_count,child_under_5_count,consent_status,observed_at,source_system
HH-002317,2300027390,XS-0101,34.50,priority,3,1,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-002318,2300082172,XS-0202,28.00,priority,2,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-002319,2300045650,XS-0301,61.00,not_eligible,2,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-002320,2300063915,XS-0302,39.90,priority,2,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-002321,2300100431,XS-0203,31.00,priority,2,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-002322,2300146081,XS-0303,48.00,standard,1,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003000,2300109568,XS-0301,25.00,priority,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003001,2300136959,XS-0302,26.00,not_eligible,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003002,2300173478,XS-0102,27.00,not_eligible,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003003,2300200865,XS-0403,28.00,standard,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003004,2310228253,XS-0101,29.00,not_eligible,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003005,2310255646,XS-0201,30.00,not_eligible,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003006,2310283034,XS-0301,31.00,standard,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003007,2310310425,XS-0401,32.00,priority,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003008,2310337812,XS-0101,33.00,not_eligible,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003009,2310365207,XS-0201,34.00,standard,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003010,2310392598,XS-0301,35.00,not_eligible,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003011,2310419983,XS-0401,36.00,not_eligible,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003012,2310447379,XS-0101,37.00,standard,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003013,2310474769,XS-0201,38.00,not_eligible,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003014,2310502155,XS-0301,39.00,priority,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003015,2310529549,XS-0401,40.00,standard,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003016,2310556939,XS-0101,41.00,not_eligible,3,1,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003017,2310584323,XS-0201,42.00,not_eligible,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003018,2310611719,XS-0301,43.00,standard,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003019,2310639105,XS-0401,44.00,not_eligible,3,1,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003020,2310667233,XS-0101,45.00,not_eligible,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003021,2310693889,XS-0201,46.00,priority,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003022,2310721274,XS-0301,47.00,not_eligible,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003023,2310748669,XS-0401,48.00,not_eligible,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003024,2310776057,XS-0101,49.00,standard,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003025,2310803440,XS-0201,50.00,not_eligible,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003026,2310830839,XS-0301,51.00,not_eligible,3,0,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003027,2310858224,XS-0401,52.00,standard,3,1,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
HH-003028,2310885612,XS-0101,53.00,priority,3,1,granted,2026-07-04T09:00:00Z,SRO-RELAY-PROJECTION
